baseline
ADVANCE_NoPolicy
ADVANCE_Reference
BAU
CD-LINKS_NoPolicy
CEMICS-Ref
EMF33_Baseline
GEA_Eff_base
GEA_Mix_base
Reference
SFCM_SSP2_Bio_Baseline
SFCM_SSP2_combined_Baseline
SFCM_SSP2_EEEI_Baseline
SFCM_SSP2_LifeStyle_Baseline
SFCM_SSP2_Ref_Baseline
SFCM_SSP2_ST_bio_Baseline
SFCM_SSP2_ST_CCS_Baseline
SFCM_SSP2_ST_nuclear_Baseline
SFCM_SSP2_ST_solar_Baseline
SFCM_SSP2_ST_wind_Baseline
SFCM_SSP2_SupTech_Baseline
SMP_REF_Def
SMP_REF_Sust
SSP1-Baseline
SSP2-Baseline
SSP3-Baseline
SSP4-Baseline
SSP5-Baseline
TERL_Baseline_LowCarbonTransportPolicy
TERL_Baseline_NoTransportPolicy
CD-LINKS_NPi
